ville,quartier,type_bien,surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,etat,annee_construction,balcon,terrasse,parking,chauffage,classe_energie,distance_centre,distance_transport,score_commerces,date_mise_vente,prix
Marseille,Vieux-Port,Studio,19.308996558831844,1,0.0,0,0,À rénover,1980.0,1,1,0.0,Pompe à chaleur,D,5.620579750908302,,1.0,2021-04-07,78603.84569161062
Nantes,Ouest,Studio,38.56880945239706,1,0.0,0,0,Correct,1952.0,1,0,1.0,Individuel gaz,C,4.484498351224833,106.41402865481975,1.0,2021-11-07,127187.94913338986
Nice,Nord,Maison,90.3913774551732,3,2.0,0,0,À rénover,1932.0,1,0,2.0,Individuel électrique,C,10.205073262440564,95.51349607599346,1.0,2021-09-19,261388.71896659417
Lyon,Part-Dieu,Loft,82.32765111922185,3,2.0,0,0,Bon,1981.0,1,0,0.0,Collectif,B,2.4775243190965863,242.12211842113692,2.0,2022-12-05,603196.8728571786
Montpellier,Sud,Appartement,78.88151446361684,3,2.0,0,0,Bon,1916.0,0,0,,Individuel gaz,F,6.317173994194821,386.3409412343012,4.0,2022-03-15,288185.15668178553
Reims,Nord,Appartement,104.66351818939778,5,4.0,1,0,Bon,1921.0,0,0,,Individuel électrique,E,6.2542711590639515,103.57619931199633,3.0,2022-05-27,223346.38108325968
Dijon,Nord,Maison,127.07696958738421,5,3.0,0,0,À rénover,1958.0,0,0,2.0,Individuel gaz,C,4.941186930396309,443.0078384384001,2.0,2021-03-23,193312.6374596172
Nantes,Sud,Maison,262.1035313300117,5,3.0,0,0,Bon,1976.0,0,0,1.0,,E,1.6071370277689063,701.2870079864003,6.0,2022-10-18,758677.9219515125
Lyon,Croix-Rousse,Maison,203.65109793904617,5,3.0,0,0,Bon,1992.0,0,0,0.0,Collectif,D,4.5972836665744055,87.48613328674026,6.0,2020-04-19,682414.7868172142
Reims,Centre,Loft,236.05715911675344,5,3.0,1,0,À rénover,1987.0,0,0,0.0,Collectif,,8.209813202126941,241.24734304930075,2.0,2023-12-10,464529.58096810227
Nice,Centre,Duplex,105.49794473847737,6,4.0,1,0,Très bon,1958.0,1,0,2.0,Individuel électrique,C,2.636479109627195,251.49564755259763,5.0,2020-01-03,881082.0967433975
Paris,Saint-Germain,Maison,242.27224166812823,7,6.0,0,0,À rénover,1984.0,1,0,0.0,,B,1.9443111459882512,308.27318080823454,4.0,2020-09-17,1903939.0665939187
Reims,Nord,Studio,27.67418315966694,1,0.0,0,0,Bon,1934.0,1,1,0.0,Collectif,D,3.662474281993359,521.2539431944986,7.0,2020-03-27,71004.62991824163
Lille,Est,Appartement,77.52510477014278,3,2.0,0,0,Correct,1969.0,1,0,0.0,Individuel électrique,C,2.010417591530668,455.3023885006652,5.0,2021-02-26,188610.4498603486
Nantes,Sud,Appartement,63.94438790059405,2,1.0,3,1,À rénover,1981.0,1,0,1.0,Collectif,,5.650701449474106,540.8545283440602,10.0,2023-03-22,149684.79879869265
Le Havre,Centre,Studio,30.925996164121592,1,0.0,5,1,Bon,1994.0,0,1,0.0,Collectif,C,5.890187991835145,244.0699054067766,7.0,2020-03-29,89113.33521944891
Reims,Ouest,Appartement,100.16037916034989,5,3.0,4,1,Bon,1902.0,0,0,1.0,Individuel gaz,E,2.35403929582379,111.97739556818688,5.0,2020-03-27,257398.08924665692
Bordeaux,Nord,Appartement,125.9689807464764,4,3.0,3,1,Correct,1908.0,0,0,2.0,Collectif,C,4.058474771392949,678.5428588876163,7.0,2020-06-09,593635.9919149494
Paris,Bastille,Appartement,60.76386018450292,3,2.0,2,0,Bon,1900.0,1,0,0.0,Individuel gaz,D,10.493550919354952,270.13574515754004,4.0,2023-12-06,525053.8672565067
Rennes,Sud,Maison,182.9472595798406,4,3.0,0,0,Bon,1974.0,1,1,1.0,Individuel gaz,C,7.8412621753945295,101.62153048998748,4.0,2021-05-27,551166.7106907737
Rennes,Centre,Appartement,65.97630621356136,2,1.0,4,1,Bon,1976.0,1,0,1.0,Individuel électrique,B,2.33226200158353,164.8415012105725,10.0,2021-01-24,342284.58486514416
Angers,Est,Maison,185.24978976644394,4,3.0,0,0,Neuf,1857.0,1,0,0.0,Individuel gaz,F,5.339595774837623,337.3403473926706,5.0,2020-05-17,456637.06075239676
Lille,Ouest,Appartement,104.79816949914411,5,5.0,7,1,Correct,1984.0,1,0,0.0,Collectif,E,6.804469846737423,145.50497490755797,5.0,2020-02-20,256719.2502882497
Reims,Est,Appartement,67.41468883312099,2,1.0,4,0,Neuf,1996.0,1,0,1.0,Collectif,C,14.648430427425975,262.2490796855048,6.0,2023-07-28,146628.71877545418
Reims,Centre,Appartement,87.33628739672713,4,3.0,0,0,Bon,1912.0,1,0,0.0,Individuel électrique,C,10.729336769968855,322.7525842371869,,2023-06-19,206764.82149464684
Angers,Ouest,Appartement,59.85605103248017,3,3.0,3,0,Très bon,1952.0,1,0,0.0,Collectif,D,4.450975779605635,64.01348540210053,1.0,2021-05-03,126429.52271306161
Dijon,Est,Loft,158.2158285039278,4,3.0,3,1,Correct,2006.0,1,0,0.0,Collectif,E,6.74741825559714,304.76044042862077,10.0,2023-10-18,409082.45328227076
Dijon,Est,Appartement,95.98522776897201,3,3.0,3,1,À rénover,1987.0,0,0,0.0,Individuel gaz,F,9.685367035748815,,2.0,2020-02-05,137716.55116968168
Angers,Ouest,Appartement,62.34151991423412,2,,3,0,À rénover,1947.0,0,0,0.0,Individuel gaz,E,2.087606384184098,59.28529382662406,5.0,2023-08-30,98042.57639851395
Dijon,Centre,Maison,145.9700619488213,5,4.0,0,0,Bon,1993.0,0,0,,Individuel électrique,G,6.862788796000524,516.4125151039112,7.0,2020-06-26,293746.1409687516
Marseille,Joliette,Maison,246.09721437288815,4,3.0,0,0,Neuf,1970.0,1,0,0.0,Collectif,E,4.657241066234648,150.1025046145254,2.0,2023-06-09,1043143.0647979389
Reims,Sud,Appartement,138.29121425997303,6,5.0,4,1,À rénover,1948.0,0,0,0.0,Pompe à chaleur,C,2.6465954652876245,138.27151309927416,10.0,2023-10-09,230036.20939376022
Strasbourg,Ouest,Appartement,63.012614138445855,2,0.0,0,0,Bon,1987.0,0,0,0.0,,D,2.981512273959309,145.14254703051836,3.0,2020-09-26,210113.11135428282
Toulouse,Nord,Duplex,148.9543541775028,4,3.0,3,1,Bon,1906.0,0,0,2.0,Individuel électrique,E,2.9554689424182365,311.70406843111823,3.0,2023-09-04,456633.47279799817
Bordeaux,Nord,Maison,161.91505374479644,5,4.0,0,0,Bon,1891.0,1,0,,,B,6.222058171312458,70.93147834063834,,2020-10-16,636135.9252290516
Marseille,Vieux-Port,Appartement,115.45197749495057,4,3.0,6,1,Correct,1978.0,0,0,0.0,Individuel électrique,C,4.323936399705322,262.83534302113424,9.0,2023-10-22,483909.50188727217
Nice,Sud,Maison,163.79300110575204,5,4.0,0,0,À rénover,1969.0,0,1,2.0,Individuel gaz,G,9.660461703985153,541.6432441966647,5.0,2023-03-12,505336.6325998799
Marseille,Joliette,Appartement,93.62780315256735,3,2.0,3,1,À rénover,2001.0,1,0,,Individuel électrique,E,8.142114253286138,207.19679501549703,9.0,2020-10-03,211021.45729949535
Strasbourg,Nord,Appartement,80.10766322151648,4,3.0,0,0,Correct,1998.0,1,0,1.0,Collectif,C,8.271535426844617,,10.0,2022-01-27,241727.2194903343
Nice,Centre,Maison,110.36200794787219,5,3.0,0,0,Correct,1945.0,1,0,0.0,Pompe à chaleur,B,3.4533861969508792,,7.0,2020-02-04,474163.4721843677
Bordeaux,Sud,Loft,96.90982614440924,4,,5,1,Correct,1971.0,1,0,0.0,,G,5.938400342439796,175.69029286491468,10.0,2022-02-08,364280.8479536393
Strasbourg,Sud,Appartement,93.09829577016899,3,2.0,8,1,Correct,1995.0,0,1,0.0,,D,13.84312668181464,289.47381357613654,7.0,2020-12-09,236180.35915408592
Lyon,Presquîle,Studio,37.0727149572849,1,1.0,6,1,Bon,,0,0,0.0,Individuel gaz,D,2.3293003409153648,127.17188178413089,9.0,2020-10-16,259927.79534566888
Toulouse,Centre,Appartement,83.12818969072077,3,2.0,2,0,Neuf,1955.0,1,1,0.0,Collectif,E,6.392177356645427,71.53077479740172,9.0,2022-08-21,392110.4334194112
Bordeaux,Est,Appartement,127.50799143198378,5,4.0,3,1,Neuf,,1,0,0.0,Collectif,E,11.339259180101465,258.91031829294934,,2021-10-10,524622.584614619
Reims,Centre,Appartement,98.21111547059955,3,3.0,3,1,Correct,1916.0,0,1,,Collectif,D,4.609697853909038,358.252180073017,7.0,2021-09-13,291152.3715225636
Dijon,Est,Appartement,94.42517958881528,3,1.0,5,1,À rénover,1980.0,1,0,1.0,,C,4.064493349383925,22.86170597739961,6.0,2022-09-13,235194.07086702666
Lyon,Croix-Rousse,Loft,75.20517805010022,3,2.0,4,1,Neuf,1969.0,1,0,0.0,Individuel gaz,D,7.037762042299507,342.81398900554257,7.0,2021-12-03,519521.8199104468
Lille,Ouest,Maison,218.07007425112295,4,3.0,0,0,Bon,1927.0,1,1,1.0,Collectif,D,4.653280443885214,114.37723934134557,,2022-09-19,702922.1619504676
Bordeaux,Sud,Appartement,51.403099648566794,3,,1,0,Neuf,1855.0,0,0,0.0,Individuel électrique,B,2.0058095842812174,42.81306357734657,3.0,2023-07-12,275099.38571321324
Lille,Sud,Duplex,117.84052436228332,7,6.0,6,1,Bon,1927.0,0,0,2.0,Collectif,D,6.137604122349234,712.2697266396359,3.0,2022-08-08,384688.90934862226
Nice,Sud,Loft,83.99986963588202,3,2.0,6,1,Très bon,1994.0,0,0,2.0,Collectif,D,5.289156606047609,25.12487158011516,4.0,2020-09-15,583785.6449331878
Lyon,Confluence,Studio,36.25715565961371,1,0.0,2,0,Bon,1906.0,0,0,1.0,Individuel gaz,E,6.0307347659593145,339.1863827334993,8.0,2023-06-22,176366.92651091624
Toulouse,Est,Duplex,156.4566668759844,7,6.0,0,0,Bon,1961.0,1,0,0.0,Collectif,D,3.093607508141787,543.3825777063576,8.0,2021-04-08,523117.44747057575
Reims,Est,Appartement,74.82530175062772,4,2.0,4,1,Bon,1938.0,0,0,2.0,Individuel électrique,D,4.973301789327669,661.3699459317012,,2021-07-31,146904.84578418534
Angers,Centre,Studio,30.473354716418143,1,0.0,2,0,Correct,1974.0,0,1,1.0,,D,9.66760885805466,35.11541421550796,5.0,2020-10-19,75695.2573890994
Reims,Ouest,Maison,140.96293838258015,4,3.0,0,0,Très bon,1971.0,0,1,0.0,,C,6.877945980029969,190.7202908890053,8.0,2023-03-03,319348.70009940705
Strasbourg,Centre,Loft,155.70603977498322,4,3.0,5,0,À rénover,2021.0,0,0,1.0,Individuel gaz,F,15.230521525276822,666.9722053692061,5.0,2020-11-17,351605.9924080701
Reims,Ouest,Studio,20.86694960594091,1,0.0,2,0,Bon,1997.0,0,0,1.0,Collectif,D,4.907082946851453,,10.0,2021-04-17,50354.625122651916
Le Havre,Centre,Appartement,80.11280240387394,3,3.0,1,0,Très bon,,1,0,1.0,Individuel gaz,E,5.664487588758064,567.1841434761641,1.0,2021-11-04,221011.92531754886
Montpellier,Nord,Studio,30.03963260540865,1,0.0,6,1,Bon,1977.0,1,0,1.0,,D,8.446082446902656,298.4276090103717,8.0,2022-01-06,108119.75716950721
Angers,Sud,Appartement,85.3970777476633,4,4.0,4,0,À rénover,1993.0,1,1,0.0,Individuel gaz,B,6.5896457326165825,142.0980087796215,1.0,2021-04-02,133492.96136955262
Marseille,Castellane,Appartement,96.66655017259961,3,1.0,0,0,Correct,2011.0,0,0,0.0,Individuel gaz,C,1.6267888042574805,136.00312966683202,,2023-05-22,358820.6142945877
Dijon,Est,Appartement,73.35191582702318,3,1.0,4,1,Correct,1878.0,1,0,2.0,Individuel gaz,D,4.572605037404291,461.90721208961486,9.0,2020-08-15,194441.00471668175
Paris,Montmartre,Duplex,148.42475589748244,5,5.0,5,1,Correct,2014.0,1,0,1.0,Individuel gaz,F,0.3368231179300468,379.2321566126597,10.0,2020-03-19,1372296.966177088
Toulouse,Sud,Appartement,75.89539840881719,4,3.0,1,0,Correct,1934.0,1,0,,Individuel électrique,B,5.165716294674352,64.76917825358846,9.0,2021-03-29,253090.05351488743
Lyon,Croix-Rousse,Maison,189.9444784238816,4,4.0,0,0,Très bon,1989.0,1,0,1.0,Individuel électrique,D,7.635703813135546,318.44020493642205,2.0,2022-11-15,784327.838647602
Montpellier,Nord,Appartement,57.070204009494525,3,2.0,8,1,Bon,1997.0,0,0,0.0,Individuel gaz,A,2.3164898011150448,378.2394359216798,2.0,2021-09-01,275827.7221813738
Toulouse,Sud,Duplex,106.91063152155306,7,,2,0,Correct,1910.0,1,0,0.0,Individuel électrique,F,6.98156165130391,281.463087561516,2.0,2023-05-19,283468.40619800903
Lyon,Presquîle,Appartement,50.266343685788804,3,2.0,8,1,Bon,2018.0,1,1,0.0,Collectif,,13.63883217112577,226.39461379007756,7.0,2020-05-27,290503.5431688968
Dijon,Ouest,Studio,31.626024215227652,1,0.0,1,0,Correct,2015.0,0,1,2.0,Collectif,D,5.122394942585586,182.69029999907207,1.0,2021-01-17,76720.82911077123
Nantes,Nord,Loft,141.98325126511935,4,4.0,4,1,Correct,1984.0,0,0,1.0,Individuel gaz,C,9.62194154730567,,10.0,2022-10-14,503371.87485567044
Nantes,Est,Appartement,72.38111708392415,3,,3,1,Bon,1923.0,0,0,,Collectif,C,0.964076188023254,10.459811818069237,10.0,2023-04-10,295512.6863932233
Lille,Nord,Appartement,74.66634490541603,3,1.0,10,1,Très bon,1976.0,0,0,,Individuel électrique,D,5.094792414509287,368.5757026836099,5.0,2022-12-28,263677.59385717893
Toulouse,Est,Studio,35.24313087631995,1,0.0,2,0,Très bon,1953.0,0,0,2.0,Individuel gaz,C,10.13098968569606,667.1402834737739,4.0,2020-02-08,107574.63611019771
Nantes,Nord,Loft,133.6559439719327,7,7.0,1,0,Bon,2015.0,0,0,1.0,Individuel électrique,C,2.9099171755350923,325.96378241000383,8.0,2023-06-15,580280.610000808
Le Havre,Est,Studio,19.844723480725122,1,,6,1,Bon,1961.0,1,0,0.0,Individuel électrique,E,1.9203816200548245,103.54058710168219,4.0,2021-07-28,51581.21348873692
Angers,Sud,Appartement,65.0453199305773,3,2.0,0,0,Bon,1988.0,1,0,0.0,Individuel gaz,F,2.414925718260074,475.4520474310339,7.0,2020-06-02,158297.0344650796
Lyon,Presquîle,Loft,83.88151348609271,4,3.0,7,1,Bon,1983.0,0,1,0.0,Collectif,D,3.078221854400563,165.3895096753906,4.0,2021-04-19,740225.9009989639
Lille,Sud,Appartement,68.7961076255594,2,2.0,0,0,À rénover,1943.0,1,0,0.0,Individuel électrique,,1.574191136900055,187.21865156606083,,2020-01-20,126872.0692125957
Reims,Centre,Maison,253.26341261265142,6,5.0,0,0,Bon,1973.0,0,0,2.0,Individuel gaz,C,6.26897753195732,305.74754268081085,8.0,2020-09-04,555651.3942820898
Lyon,Part-Dieu,Studio,39.81233566479393,1,1.0,3,1,Bon,1961.0,1,1,0.0,,D,6.487409703438239,385.2305941897319,5.0,2023-11-08,216139.60157648407
Lille,Sud,Appartement,76.4851465721907,4,3.0,5,1,Bon,1957.0,1,0,,Individuel gaz,C,5.18570050945933,112.49330504001692,8.0,2021-05-27,280650.3801781931
Dijon,Nord,Studio,57.60845949803331,1,0.0,2,0,Bon,,0,0,0.0,Individuel électrique,D,5.210362082107164,283.1392898061379,3.0,2021-12-09,142629.50314232855
Toulouse,Ouest,Maison,187.94152432323872,7,5.0,0,0,Neuf,1919.0,0,0,,Individuel électrique,E,4.192168663445153,,4.0,2020-11-15,644647.790029412
Dijon,Est,Loft,218.359739747001,5,3.0,6,1,Bon,,1,0,1.0,Individuel gaz,C,7.338254278008554,176.6964585940622,2.0,2023-04-19,739196.4033390073
Angers,Est,Appartement,79.6420808546838,4,4.0,3,0,Très bon,1854.0,0,0,0.0,Collectif,E,10.361000839484195,846.2199373868378,10.0,2023-03-06,162783.1405993786
Angers,Est,Appartement,64.96761396728184,3,2.0,2,0,Neuf,1941.0,1,0,0.0,Individuel électrique,,5.7832858363425546,865.6503771197415,7.0,2020-12-15,196443.6245037061
Montpellier,Centre,Studio,22.198719197963634,1,0.0,2,0,Très bon,1981.0,1,0,1.0,Individuel électrique,D,8.970771770666808,284.6189942406418,,2021-03-31,88404.91408510254
Dijon,Est,Appartement,92.28517040981848,4,3.0,0,0,Neuf,1904.0,0,0,1.0,Individuel gaz,E,6.911703510719602,121.25781645613998,4.0,2023-08-25,274852.61870531976
Strasbourg,Est,Appartement,68.61090623542866,3,2.0,4,1,Très bon,1943.0,1,0,2.0,Individuel électrique,,3.475323492606422,263.3808878808016,2.0,2023-07-22,262804.7510980532
Reims,Nord,Duplex,121.8683149161605,4,2.0,2,0,Correct,2009.0,1,0,0.0,Individuel électrique,E,4.303205464403591,112.39060551204636,5.0,2021-09-05,252132.18020256548
Bordeaux,Sud,Appartement,87.86008543057244,4,3.0,2,0,Correct,,1,0,0.0,Individuel gaz,D,12.836123488789399,118.37384857203904,8.0,2023-05-21,262957.1199540248
Dijon,Est,Duplex,96.78092780482484,4,3.0,8,1,Correct,1899.0,1,0,1.0,Individuel gaz,C,2.6362179620985517,,,2022-12-23,290943.5536080769
Montpellier,Ouest,Appartement,83.06223006987777,4,,1,0,Correct,2023.0,0,0,2.0,Individuel électrique,D,8.308689514375338,816.8437759833395,4.0,2023-02-13,299767.4773259723
Nice,Est,Appartement,72.71236582755975,4,3.0,6,1,Bon,2017.0,0,0,0.0,Individuel gaz,E,24.29507323888999,255.0146755092154,1.0,2020-05-19,229164.46355247792
Le Havre,Centre,Studio,20.686356682685773,1,0.0,8,1,Très bon,1919.0,1,0,1.0,Individuel gaz,E,3.1492337914538346,309.59849893097305,8.0,2021-07-17,52303.37358118229
Lyon,Presquîle,Maison,198.79340419725952,6,5.0,0,0,Bon,,0,0,,Collectif,E,5.101174692304553,378.64354277591616,1.0,2022-01-28,886906.1769871132
Angers,Centre,Maison,205.26402865991957,5,3.0,0,0,Très bon,1974.0,0,0,1.0,Individuel électrique,C,3.5707853534440788,703.4329352717307,10.0,2020-03-31,560378.4591996397
Nice,Est,Maison,239.80625947018834,4,2.0,0,0,Neuf,2015.0,1,0,1.0,Individuel électrique,E,7.761641422885019,50.41146660133267,,2023-11-20,1187337.9844305627
Montpellier,Nord,Studio,22.360249378654224,1,0.0,6,1,Correct,2020.0,0,0,2.0,Collectif,D,8.711700289464236,70.68414585394424,,2022-10-01,64671.09750077982
Lille,Ouest,Appartement,139.38035451103713,6,6.0,0,0,À rénover,,1,1,,Individuel gaz,D,5.49916974973438,153.64401491014715,9.0,2021-09-30,324512.8258727331
Bordeaux,Est,Appartement,62.354170558281226,2,2.0,6,1,Très bon,1946.0,1,1,0.0,,F,1.9251300097272632,995.7383945002816,9.0,2021-03-16,315273.36634540977
Reims,Nord,Appartement,142.47488986996737,7,6.0,1,0,Correct,2015.0,1,0,,Individuel gaz,,5.232825668573968,125.46667701788428,4.0,2020-02-22,273565.281271743
Reims,Nord,Maison,112.4904004992996,7,5.0,0,0,Correct,1977.0,0,1,1.0,Individuel électrique,E,5.77979954345241,698.229854658854,10.0,2022-03-18,226616.7567787671
Reims,Est,Appartement,77.39736978424034,3,1.0,2,0,Correct,1953.0,0,0,2.0,Pompe à chaleur,D,14.16314350625043,49.535683745835286,8.0,2020-10-09,124054.51061051745
Le Havre,Est,Appartement,85.41288272649808,4,3.0,10,1,Correct,1966.0,1,0,0.0,Individuel gaz,D,1.832669219636022,410.7187987418603,8.0,2023-01-25,193802.7832005922
Bordeaux,Nord,Maison,168.9450348659522,4,4.0,0,0,Très bon,1961.0,0,0,0.0,Individuel gaz,E,3.1631770872194296,,5.0,2023-12-02,603542.0856958053
Le Havre,Nord,Appartement,56.26647603178157,3,2.0,2,0,Bon,2016.0,0,0,1.0,Individuel électrique,A,5.48784153786311,294.0923592500743,7.0,2021-05-29,115984.36292160182
Angers,Nord,Appartement,67.23119965116928,2,2.0,4,0,Correct,,0,0,1.0,Individuel gaz,D,11.002442947616945,634.680487945427,7.0,2020-04-11,122446.94035995829
Le Havre,Est,Maison,188.83185881431677,4,,0,0,Bon,1872.0,1,0,2.0,Collectif,C,4.471734699624895,201.4474928729832,,2020-08-06,312759.5022471996
Paris,Montmartre,Appartement,146.7612423448806,6,5.0,2,0,Correct,1856.0,0,0,0.0,Pompe à chaleur,C,8.142900552855544,160.2688811261423,2.0,2021-09-16,1054674.4829084983
Bordeaux,Centre,Loft,91.45383118681838,4,3.0,2,0,Correct,1898.0,1,0,0.0,Collectif,E,8.648367506509757,57.97349144450422,7.0,2022-05-03,407396.6264136565
Strasbourg,Est,Maison,151.7310889655597,5,3.0,0,0,Bon,2030.0,1,1,1.0,Individuel gaz,D,12.153825194986887,505.03680658985496,8.0,2023-04-27,330709.28885664325
Bordeaux,Centre,Appartement,53.55629351205498,2,1.0,3,1,Bon,2002.0,1,0,,,A,5.618342101764526,332.9229230313937,9.0,2022-01-25,294574.4918226737
Montpellier,Sud,Maison,159.58044377472189,5,5.0,0,0,Correct,1971.0,1,0,0.0,Collectif,G,10.92302236109661,232.00464039634753,4.0,2022-08-29,358729.1829218187
Paris,Belleville,Appartement,74.93945818887192,4,,8,1,Très bon,1973.0,0,0,1.0,Collectif,B,9.068647171319867,609.8271906335174,5.0,2021-04-25,765388.419567933
Reims,Sud,Studio,43.08163135171639,1,0.0,1,0,Très bon,1938.0,0,1,0.0,Individuel électrique,D,2.842687428155119,505.0498819353964,9.0,2023-11-15,131056.7839832746
Montpellier,Nord,Duplex,128.2093837665039,4,3.0,1,0,Neuf,1966.0,0,0,0.0,Individuel électrique,D,8.23146843736264,16.691145134488764,2.0,2021-02-19,480161.50799770444
Montpellier,Nord,Maison,249.93598128883158,4,3.0,0,0,Bon,1941.0,0,0,0.0,Individuel gaz,D,9.092719721378215,397.87510560900074,8.0,2022-08-25,642283.1508632319
Angers,Ouest,Maison,173.4725304363244,6,5.0,0,1,Correct,1943.0,1,0,1.0,Individuel électrique,D,5.5494387161143734,,10.0,2021-01-08,282948.704410965
Rennes,Nord,Appartement,38.9636892980137,2,,0,0,Très bon,1960.0,0,0,1.0,Collectif,C,4.828796967142914,367.97689135397536,1.0,2020-08-15,157666.40760313763
Marseille,Castellane,Appartement,85.56546971232224,3,3.0,1,0,Correct,1883.0,0,0,0.0,Individuel gaz,D,8.171528632946462,291.0027182033496,,2023-12-25,286633.422208354
Paris,Montmartre,Loft,293.42406412883605,4,2.0,1,0,Correct,2018.0,0,1,0.0,Collectif,F,9.115123289591594,129.7802756096876,1.0,2021-10-08,3521088.7695460324
Montpellier,Est,Appartement,101.05979569960529,5,4.0,0,0,Très bon,2013.0,0,0,2.0,Individuel gaz,C,11.253567123423466,105.8496963555992,10.0,2023-03-22,364669.2756173584
Marseille,Prado,Appartement,75.90101168864442,3,2.0,3,0,Neuf,2000.0,0,0,0.0,Individuel gaz,B,3.6054474920837998,149.80895134380708,4.0,2020-02-14,369244.5024852933
Marseille,Endoume,Appartement,64.08778097455898,3,1.0,0,0,À rénover,1976.0,0,0,0.0,Individuel électrique,D,2.977605049442817,222.84622961903582,8.0,2021-04-13,171776.9606746945
Paris,Montmartre,Studio,21.88732290823736,1,0.0,3,1,Correct,2002.0,1,1,1.0,Pompe à chaleur,E,6.816075920837163,602.7447344520681,5.0,2020-11-21,186493.85147819028
Rennes,Sud,Appartement,66.47170598051233,3,3.0,1,0,Bon,2020.0,1,0,0.0,Collectif,,4.64144261673899,184.2720628980168,2.0,2021-05-05,210779.56577654212
Nice,Sud,Loft,115.68601006250182,4,3.0,7,1,Neuf,1944.0,0,1,1.0,Individuel gaz,E,2.9905142749032714,225.63667968274845,10.0,2020-02-27,1030439.957397567
Lille,Nord,Appartement,132.2772275005254,5,4.0,2,0,Bon,1956.0,1,0,1.0,Individuel gaz,,4.791393297533983,231.02575024601904,8.0,2022-02-07,397251.93068227166
Strasbourg,Sud,Appartement,73.17237385081526,4,3.0,0,0,Très bon,,0,0,0.0,Individuel gaz,B,4.327030337214941,420.5693415745199,4.0,2023-06-15,235524.556294127
